                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.66587,                0.46825,                0.95033,                0.88053,                0.92128,                0.92962,                0.71733,                0.86574,                    0.6,                 1.0849,              0.0005942,              0.0005942,              0.0005942
                     73,                 0.6854,                0.48801,                0.95788,                0.89629,                  0.925,                0.93452,                0.69407,                0.88446,                0.60936,                 1.0901,              0.0005744,              0.0005744,              0.0005744
                     74,                0.69159,                0.48556,                0.96861,                0.90621,                0.91795,                0.93576,                0.71196,                0.87185,                0.62709,                 1.0831,              0.0005546,              0.0005546,              0.0005546
                     75,                0.65756,                0.47143,                0.93693,                0.91404,                  0.885,                0.92178,                0.71022,                0.86907,                0.64681,                 1.0795,              0.0005348,              0.0005348,              0.0005348
                     76,                0.67164,                0.45968,                0.95355,                0.91171,                   0.87,                 0.9156,                0.71048,                0.85092,                0.64671,                 1.0489,               0.000515,               0.000515,               0.000515
                     77,                0.66967,                0.46539,                0.93469,                  0.881,                0.88844,                0.91862,                 0.6935,                0.86099,                0.63256,                 1.0497,              0.0004952,              0.0004952,              0.0004952
                     78,                0.68373,                0.47344,                0.95547,                0.88484,                   0.89,                0.92262,                0.71105,                0.82217,                0.60722,                 1.0374,              0.0004754,              0.0004754,              0.0004754
                     79,                0.65455,                0.44799,                0.94025,                0.87227,                  0.905,                0.92223,                0.70954,                0.82279,                0.58808,                 1.0259,              0.0004556,              0.0004556,              0.0004556
                     80,                0.63017,                0.43627,                0.93888,                0.85606,                0.92184,                 0.9192,                0.71729,                0.81692,                0.60877,                 1.0357,              0.0004358,              0.0004358,              0.0004358
                     81,                0.64861,                0.43688,                0.94381,                0.86048,                  0.915,                0.91184,                0.70475,                0.84573,                 0.6461,                 1.0342,               0.000416,               0.000416,               0.000416
                     82,                0.66316,                0.45485,                0.93941,                0.88222,                0.89888,                0.90829,                0.70754,                0.85134,                0.67613,                 1.0487,              0.0003962,              0.0003962,              0.0003962
                     83,                0.67246,                0.44482,                0.92606,                0.89082,                  0.895,                0.91404,                0.71338,                0.82204,                0.66461,                  1.053,              0.0003764,              0.0003764,              0.0003764
                     84,                0.64464,                0.44607,                0.94147,                0.88698,                   0.89,                0.92337,                0.72522,                0.82499,                0.64383,                 1.0349,              0.0003566,              0.0003566,              0.0003566
                     85,                0.64162,                0.43366,                0.92889,                0.91033,                  0.875,                0.92205,                0.72248,                0.82423,                0.65195,                 1.0452,              0.0003368,              0.0003368,              0.0003368
                     86,                0.62893,                0.44231,                0.92562,                0.89012,                 0.8911,                0.91582,                0.72078,                0.80152,                0.62195,                 1.0259,               0.000317,               0.000317,               0.000317
                     87,                0.60357,                0.43051,                0.91256,                0.89786,                0.87905,                0.91662,                0.72443,                0.80827,                0.62294,                 1.0362,              0.0002972,              0.0002972,              0.0002972
                     88,                0.62538,                0.41443,                0.92572,                 0.8353,                  0.935,                0.92099,                0.72529,                0.81962,                0.63485,                 1.0395,              0.0002774,              0.0002774,              0.0002774
                     89,                0.59118,                 0.4121,                0.92522,                0.89007,                   0.87,                0.92188,                0.73132,                0.82377,                0.65754,                 1.0434,              0.0002576,              0.0002576,              0.0002576
                     90,                0.61232,                0.42208,                0.91821,                0.89825,                   0.87,                0.92386,                0.72962,                0.81723,                0.64294,                 1.0303,              0.0002378,              0.0002378,              0.0002378
                     91,                0.57924,                0.40826,                0.87706,                0.89938,                   0.88,                0.92336,                0.72567,                0.83196,                0.64286,                 1.0402,               0.000218,               0.000218,               0.000218
                     92,                0.60269,                 0.4219,                0.88675,                0.89365,                  0.885,                0.91891,                0.71364,                0.84288,                0.65846,                 1.0509,              0.0001982,              0.0001982,              0.0001982
                     93,                0.58035,                0.41152,                0.88832,                0.88494,                0.88445,                0.91845,                0.71737,                0.82234,                0.62564,                 1.0343,              0.0001784,              0.0001784,              0.0001784
                     94,                0.55347,                0.37879,                0.88237,                 0.8773,                0.92947,                0.92785,                0.72644,                0.81471,                0.60671,                 1.0325,              0.0001586,              0.0001586,              0.0001586
                     95,                0.59869,                0.40638,                0.90661,                0.86839,                  0.925,                0.92553,                0.72845,                0.80595,                0.60245,                 1.0345,              0.0001388,              0.0001388,              0.0001388
                     96,                0.59045,                0.41216,                0.89177,                0.90948,                  0.885,                0.92349,                0.73472,                0.80408,                0.59291,                 1.0444,               0.000119,               0.000119,               0.000119
                     97,                0.54318,                0.37368,                0.87771,                0.88003,                0.91695,                0.92238,                0.73375,                0.80548,                0.58257,                 1.0396,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.56439,                0.39206,                0.88899,                0.89125,                0.90152,                0.92627,                0.73644,                0.81821,                0.59431,                  1.049,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.54827,                0.38348,                0.87623,                0.86635,                   0.94,                0.92775,                0.73779,                0.82122,                0.59755,                   1.05,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.56028,                0.37686,                 0.8743,                0.86917,                   0.94,                0.92769,                0.73977,                0.80974,                0.59088,                 1.0399,               3.98e-05,               3.98e-05,               3.98e-05
